Sno,FileName,SourceFile,DateTimeOriginal
1,C1001_2017-01-01_16-44-32-CAM60495.jpg,D:/R_projects/multiseason_occupancy/leopard/C1001-2017-01-01_16-44-32-CAM60495.jpg,2017:01:01 16:44:32
2,C1001_2021-02-03 22-41-16_IMG_0354.JPG,D:/R_projects/multiseason_occupancy/leopard/C1001__2021-02-03 22-41-16_IMG_0354.JPG,2021:02:03 22:41:16
3,C1001_2017-01-01_16-44-16_CAM60495.jpg,D:/R_projects/multiseason_occupancy/leopard/C1001_2017-01-01_16-44-16_CAM60495.jpg,2017:01:01 16:44:16
4,C1001_2017-01-01_16-44-24-CAM60495.jpg,D:/R_projects/multiseason_occupancy/leopard/C1001_2017-01-01_16-44-24-CAM60495.jpg,2017:01:01 16:44:24
5,C1001_2017-01-10_11-38-35_CAM60749.jpg,D:/R_projects/multiseason_occupancy/leopard/C1001_2017-01-10_11-38-35_CAM60749.jpg,2017:01:10 11:38:35
6,C1001_2017-01-10_11-38-40_CAM60749.jpg,D:/R_projects/multiseason_occupancy/leopard/C1001_2017-01-10_11-38-40_CAM60749.jpg,2017:01:10 11:38:40
7,C1001_2018-01-27_05-50-16-CAM60466.jpg,D:/R_projects/multiseason_occupancy/leopard/C1001_2018-01-27_05-50-16-CAM60466.jpg,2018:01:27 05:50:16
8,C1001_2021-01-30 17-50-37_IMG_0085.JPG,D:/R_projects/multiseason_occupancy/leopard/C1001_2021-01-30 17-50-37_IMG_0085.JPG,2021:01:30 17:50:37
9,C1001_2021-02-03 22-41-14_IMG_0353.JPG,D:/R_projects/multiseason_occupancy/leopard/C1001_2021-02-03 22-41-14_IMG_0353.JPG,2021:02:03 22:41:13
10,C1002_2018-01-27 17-17-36_1709B-I_00010c.JPG,D:/R_projects/multiseason_occupancy/leopard/C1002_2018-01-27 17-17-36_1709B-I_00010c.JPG,2018:01:27 17:17:37
11,C1002_2018-01-27 17-17-36_1709B-I_00010d.JPG,D:/R_projects/multiseason_occupancy/leopard/C1002_2018-01-27 17-17-36_1709B-I_00010d.JPG,2018:01:27 17:17:37
12,C1002_2021-01-30 17-50-38_IMG_0086.JPG,D:/R_projects/multiseason_occupancy/leopard/C1002_2021-01-30 17-50-38_IMG_0086.JPG,2021:01:30 17:50:38
13,C1003_2018-01-25_19-58-50-CAM60290.jpg,D:/R_projects/multiseason_occupancy/leopard/C1003_2018-01-25_19-58-50-CAM60290.jpg,2018:01:25 19:58:50
14,C1004__2018-01-08 18-05-50_AB24A_I_00014b.JPG,D:/R_projects/multiseason_occupancy/leopard/C1004__2018-01-08 18-05-50_AB24A_I_00014b.JPG,2018:01:08 18:05:50
15,C1004_2017-01-09_11-41-43-CAM60471.jpg,D:/R_projects/multiseason_occupancy/leopard/C1004_2017-01-09_11-41-43-CAM60471.jpg,2017:01:09 11:41:43
16,C1004_2018-01-08 18-06-10_AB24B_I_00014b.JPG,D:/R_projects/multiseason_occupancy/leopard/C1004_2018-01-08 18-06-10_AB24B_I_00014b.JPG,2018:01:08 18:06:10
17,C1005_2021-01-31 00-15-26_IMG_0089.JPG,D:/R_projects/multiseason_occupancy/leopard/C1005_2021-01-31 00-15-26_IMG_0089.JPG,2021:01:31 00:15:26
18,C1005_2021-01-31 00-15-26_IMG_0090.JPG,D:/R_projects/multiseason_occupancy/leopard/C1005_2021-01-31 00-15-26_IMG_0090.JPG,2021:01:31 00:15:26
19,C1005_2021-01-31 00-15-26_IMG_0091.JPG,D:/R_projects/multiseason_occupancy/leopard/C1005_2021-01-31 00-15-26_IMG_0091.JPG,2021:01:31 00:15:26
20,C1007_2018-02-01_13-59-40-CAM65919.jpg,D:/R_projects/multiseason_occupancy/leopard/C1007_2018-02-01_13-59-40-CAM65919.jpg,2018:02:01 13:59:40
21,C1008_2017-01-02_18-02-57-CAM60474.jpg,D:/R_projects/multiseason_occupancy/leopard/C1008_2017-01-02_18-02-57-CAM60474.jpg,2017:01:02 18:02:57
22,C1008_2018-02-01_14-00-02-CAM66107.jpg,D:/R_projects/multiseason_occupancy/leopard/C1008_2018-02-01_14-00-02-CAM66107.jpg,2018:02:01 14:00:02
23,C1008_2018-02-08_04-46-07-CAM66107.jpg,D:/R_projects/multiseason_occupancy/leopard/C1008_2018-02-08_04-46-07-CAM66107.jpg,2018:02:08 04:46:07
24,C1008_2021-1-31 16-57-42_IMG_0166.JPG,D:/R_projects/multiseason_occupancy/leopard/C1008_2021-1-31 16-57-42_IMG_0166.JPG,2021:1:31 16:57:43
25,C1008_2021-01-12 06-05-06_IMG_0433.JPG,D:/R_projects/multiseason_occupancy/leopard/C1008_2021-01-12 06-05-06_IMG_0433.JPG,2021:01:12 06:05:06
26,C1009_2017-01-02_18-02-55-CAM60290.jpg,D:/R_projects/multiseason_occupancy/leopard/C1009_2017-01-02_18-02-55-CAM60290.jpg,2017:01:02 18:02:55
27,C1010-2017-01-01_16-49-24-CAM60513.jpg,D:/R_projects/multiseason_occupancy/leopard/C1010-2017-01-01_16-49-24-CAM60513.jpg,2017:01:01 16:49:24
28,C1010-2017-01-01_16-49-30-CAM60513.jpg,D:/R_projects/multiseason_occupancy/leopard/C1010-2017-01-01_16-49-30-CAM60513.jpg,2017:01:01 16:49:30
29,C1010-2017-01-01_16-49-36-CAM60513.jpg,D:/R_projects/multiseason_occupancy/leopard/C1010-2017-01-01_16-49-36-CAM60513.jpg,2017:01:01 16:49:36
30,C1010-2017-01-10_11-44-16_CAM60252.jpg,D:/R_projects/multiseason_occupancy/leopard/C1010-2017-01-10_11-44-16_CAM60252.jpg,2017:01:10 11:44:16
31,C1010-2017-01-10_11-44-22_CAM60252.jpg,D:/R_projects/multiseason_occupancy/leopard/C1010-2017-01-10_11-44-22_CAM60252.jpg,2017:01:10 11:44:22
32,C1010_2017-01-03_17-05-56-CAM60513.jpg,D:/R_projects/multiseason_occupancy/leopard/C1010_2017-01-03_17-05-56-CAM60513.jpg,2017:01:03 17:05:56
33,C1010_2017-01-10_11-44-10_CAM60252.jpg,D:/R_projects/multiseason_occupancy/leopard/C1010_2017-01-10_11-44-10_CAM60252.jpg,2017:01:10 11:44:10
34,C1010_2018-02-09 02-13-16_1638A-I__00134.JPG,D:/R_projects/multiseason_occupancy/leopard/C1010_2018-02-09 02-13-16_1638A-I__00134.JPG,2018:02:09 02:13:17
35,C1010_2021-02-09 19-27-10_I_00025a.JPG,D:/R_projects/multiseason_occupancy/leopard/C1010_2021-02-09 19-27-10_I_00025a.JPG,2021:02:09 19:27:10
36,C1010_2021-02-13 19-23-52_I_00036a.JPG,D:/R_projects/multiseason_occupancy/leopard/C1010_2021-02-13 19-23-52_I_00036a.JPG,2021:02:13 19:23:52
37,C1010_2021-02-06 05-07-12_Cdy00018.JPG,D:/R_projects/multiseason_occupancy/leopard/C1010_2021-02-06 05-07-12_Cdy00018.JPG,2021:02:06 05:07:13
38,C1011_2018-01-08_08-08-42-CAM60770.jpg,D:/R_projects/multiseason_occupancy/leopard/C1011_2018-01-08_08-08-42-CAM60770.jpg,2018:01:08 08:08:42
39,C1011_2018-01-18_21-07-56-CAM60770.jpg,D:/R_projects/multiseason_occupancy/leopard/C1011_2018-01-18_21-07-56-CAM60770.jpg,2018:01:18 21:07:56
40,C1011_2018-01-26_02-49-25-CAM60771.jpg,D:/R_projects/multiseason_occupancy/leopard/C1011_2018-01-26_02-49-25-CAM60771.jpg,2018:01:26 02:49:25
41,C1012_2018-01-11_14-28-29-CAM60785.jpg,D:/R_projects/multiseason_occupancy/leopard/C1012_2018-01-11_14-28-29-CAM60785.jpg,2018:01:11 14:28:29
42,C1012_2018-01-27_05-49-27-CAM60494.jpg,D:/R_projects/multiseason_occupancy/leopard/C1012_2018-01-27_05-49-27-CAM60494.jpg,2018:01:27 05:49:27
43,C1012_2021-01-02 18-29-40_IMAG3108.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_2021-01-02 18-29-40_IMAG3108.JPG,2021:01:02 18:29:40
44,C1012_2021-01-05 04-35-36_IMAG3169.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_2021-01-05 04-35-36_IMAG3169.JPG,2021:01:05 04:35:37
45,C1012_2021-02-06 05-07-32_Cdy00017.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_2021-02-06 05-07-32_Cdy00017.JPG,2021:02:06 05:07:33
46,C1012_C_189B1_IMG_0028.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B1_IMG_0028.JPG,2017:1:31 06:01:54
47,C1012_C_189B1_IMG_0029.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B1_IMG_0029.JPG,2017:1:31 06:01:56
48,C1012_C_189B2_IMG_0053.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B2_IMG_0053.JPG,2017:01:09 05:03:06
49,C1012_C_189B2_IMG_0056.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B2_IMG_0056.JPG,2017:01:09 05:03:09
50,C1012_C_189B2_IMG_0057.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B2_IMG_0057.JPG,2017:01:09 05:03:10
51,C1012_C_189B2_IMG_0085.JPG,D:/R_projects/multiseason_occupancy/leopard/C1012_C_189B2_IMG_0085.JPG,2017:01:11 01:06:34
52,C1013_2018-01-19_07-32-05-CAM66032.jpg,D:/R_projects/multiseason_occupancy/leopard/C1013_2018-01-19_07-32-05-CAM66032.jpg,2018:01:19 07:32:05
53,C1015_2017-01-03_17-00-45-CAM60495.jpg,D:/R_projects/multiseason_occupancy/leopard/C1015_2017-01-03_17-00-45-CAM60495.jpg,2017:01:03 17:00:45
54,C1015_2018-01-13 17-18-34_1655A_I_00003d.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-13 17-18-34_1655A_I_00003d.JPG,2018:01:13 17:18:35
55,C1015_2018-01-13 17-19-22_1655A_I_00042c.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-13 17-19-22_1655A_I_00042c.JPG,2018:01:13 17:19:23
56,C1015_2018-01-15 15-46-40_1655A-I_00003a.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-15 15-46-40_1655A-I_00003a.JPG,2018:01:15 15:46:41
57,C1015_2018-01-15 15-46-40_1655A-I_00003b.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-15 15-46-40_1655A-I_00003b.JPG,2018:01:15 15:46:41
58,C1015_2018-01-15 15-46-40_1655A-I_00003d.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-15 15-46-40_1655A-I_00003d.JPG,2018:01:15 15:46:41
59,C1015_2018-01-15 15-46-40_1655A-I_00003e.JPG,D:/R_projects/multiseason_occupancy/leopard/C1015_2018-01-15 15-46-40_1655A-I_00003e.JPG,2018:01:15 15:46:41
60,C1016_2017-01-09_11-41-30-CAM60416.jpg,D:/R_projects/multiseason_occupancy/leopard/C1016_2017-01-09_11-41-30-CAM60416.jpg,2017:01:09 11:41:30
61,C1016_2017-01-09_11-41-35-CAM60416.jpg,D:/R_projects/multiseason_occupancy/leopard/C1016_2017-01-09_11-41-35-CAM60416.jpg,2017:01:09 11:41:35
62,C1016_2017-01-09_11-41-41-CAM60416.jpg,D:/R_projects/multiseason_occupancy/leopard/C1016_2017-01-09_11-41-41-CAM60416.jpg,2017:01:09 11:41:41
63,C1017_2018-01-11_10-02-47-CAM66063.jpg,D:/R_projects/multiseason_occupancy/leopard/C1017_2018-01-11_10-02-47-CAM66063.jpg,2018:01:11 10:02:47
64,C1017_2018-01-19_07-30-58-CAM66063.jpg,D:/R_projects/multiseason_occupancy/leopard/C1017_2018-01-19_07-30-58-CAM66063.jpg,2018:01:19 07:30:58
65,C1017_2018-01-19_07-31-40-CAM66063.jpg,D:/R_projects/multiseason_occupancy/leopard/C1017_2018-01-19_07-31-40-CAM66063.jpg,2018:01:19 07:31:40
66,C1017_2018-01-19_07-35-13-CAM66063.jpg,D:/R_projects/multiseason_occupancy/leopard/C1017_2018-01-19_07-35-13-CAM66063.jpg,2018:01:19 07:35:13
67,C1017_2021-01-07 12-55-38_I_00091a.JPG,D:/R_projects/multiseason_occupancy/leopard/C1017_2021-01-07 12-55-38_I_00091a.JPG,2021:01:07 12:55:38
68,C1018_2018-02-08_23-19-24-CAM67541.jpg,D:/R_projects/multiseason_occupancy/leopard/C1018_2018-02-08_23-19-24-CAM67541.jpg,2018:02:08 23:19:24
69,C1019_2018-02-07_16-20-42-CAM69073.jpg,D:/R_projects/multiseason_occupancy/leopard/C1019_2018-02-07_16-20-42-CAM69073.jpg,2018:02:07 16:20:42
70,C1019_2021-01-10 15-49-22_I_00006a.JPG,D:/R_projects/multiseason_occupancy/leopard/C1019_2021-01-10 15-49-22_I_00006a.JPG,2021:01:10 15:49:22
71,C1019_2021-01-15 00-40-42_I__00049.JPG,D:/R_projects/multiseason_occupancy/leopard/C1019_2021-01-15 00-40-42_I__00049.JPG,2021:01:15 00:40:42
72,C1019_2021-01-15 01-43-38_I__00050.JPG,D:/R_projects/multiseason_occupancy/leopard/C1019_2021-01-15 01-43-38_I__00050.JPG,2021:01:15 01:43:39
73,C1020_2018-01-19_11-01-02-CAM66061.jpg,D:/R_projects/multiseason_occupancy/leopard/C1020_2018-01-19_11-01-02-CAM66061.jpg,2018:01:19 11:01:02
74,C1020_2018-01-19_11-01-04-CAM66061.jpg,D:/R_projects/multiseason_occupancy/leopard/C1020_2018-01-19_11-01-04-CAM66061.jpg,2018:01:19 11:01:04
75,C1020_2018-01-25_19-59-06-CAM60272.jpg,D:/R_projects/multiseason_occupancy/leopard/C1020_2018-01-25_19-59-06-CAM60272.jpg,2018:01:25 19:59:06
